ID,Athlete_ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
57946,29655,Ralph Douglas Doubell,M,23,180,65,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,Gold

46885,24160,Alfredo Ernesto Cubas Borges,M,22,165,57,El Salvador,ESA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

46959,24194,Guillermo Cuello,M,27,193,83,Argentina,ARG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

208014,104412,Thomas Saisi,M,23,173,68,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

249227,124775,Gilbert Van Manshoven,M,22,180,70,Belgium,BEL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

132707,66791,Gerd Larsen,M,26,189,75,Denmark,DEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

141216,70866,Jos Gerardo L'Oficial Olivero,M,20,180,77,Dominican Republic,DOM,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

168911,84895,Papa M'Baye N'Diaye,M,30,182,67,Senegal,SEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

18206,9658,Charles Wade Bell,M,23,180,70,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

167334,84062,Jun Nagai,M,24,171,59,Japan,JPN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

167102,83951,Neville F. Myton,M,22,180,69,Jamaica,JAM,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

52782,27098,Giovanni Gianni' Del Buono',M,25,178,65,Italy,ITA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

6069,3415,John A. Ametepey,M,29,185,73,Ghana,GHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

76340,38737,Sven Anders Grderud,M,22,186,70,Sweden,SWE,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

129695,65293,Ronald Craig Ron' Kutschinski',M,21,183,66,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

73437,37323,Dieter Fromm,M,20,178,65,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

234487,117589,Henryk Jan Szordykowski,M,24,180,67,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

59468,30461,Jean-Pierre Dufresne,M,23,177,66,France,FRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

73088,37153,Xaver Frick, Jr.,M,22,176,64,Liechtenstein,LIE,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

215372,108129,Mamo Sebsibe,M,24,172,62,Ethiopia,ETH,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

219269,110155,Gilles Sibon,M,23,176,62,France,FRA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

9961,5446,Yevhen Oleksandrovych Arzhanov,M,20,179,68,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

60615,31040,Byron Alphonso Dyce,M,20,178,67,Jamaica,JAM,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

66764,34151,Thomas Francis Tom' Farrell',M,24,172,64,United States,USA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,Bronze

220068,110551,Roberto Silva Martnez,M,21,168,60,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

156792,78753,Francisco Mauricio Menocal,M,22,175,70,Nicaragua,NCA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

12430,6754,Carlos Bez Guzman,M,20,170,57,Puerto Rico,PUR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

189788,95324,Jozef Plach,M,19,182,73,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

111320,56320,Tom Jungwirth,M,25,187,71,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

101328,51237,Angelo Koko Nimir Hussein,M,NA,172,64,Sudan,SUD,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

179309,90101,Robert Ouko,M,19,173,68,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

196392,98597,Ramasamy Subramaniam,M,28,183,65,Malaysia,MAS,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

115772,58653,Franz-Josef Kemper,M,23,180,61,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

185120,93050,Jacques Pennewaert,M,28,184,76,Belgium,BEL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

36168,18588,Noel J. Carroll,M,26,188,79,Ireland,IRL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

46365,23920,David Dave' Cropper',M,22,185,73,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

37311,19180,Benedict Hutchinson Ben' Cayenne',M,24,180,72,Trinidad and Tobago,TTO,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

104016,52631,Ahmed Issa,M,25,174,60,Chad,CHA,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

36269,18633,Christopher Sydney Chris' Carter',M,25,185,81,Great Britain,GBR,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

119732,60620,Wilson Arap Chuma Kiprugut,M,NA,178,71,Kenya,KEN,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,Silver

87856,44543,Matias Habtemichael,M,17,185,65,Ethiopia,ETH,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA

